player_id,name,team,statistic,value,year,league
giambja01,Jason Giambi,Oakland Athletics,Base on Balls,137.0,2000,American
garcino01,Nomar Garciaparra,Boston Red Sox,Batting Average,0.372,2000,American
delgaca01,Carlos Delgado,Toronto Blue Jays,Doubles,57.0,2000,American
erstada01,Darin Erstad,Anaheim Angels,Hits,240.0,2000,American
glaustr01,Troy Glaus,Anaheim Angels,Home Runs,47.0,2000,American
giambja01,Jason Giambi,Oakland Athletics,On Base Percentage,0.476,2000,American
martied01,Edgar Martinez,Seattle Mariners,RBI,145.0,2000,American
damonjo01,Johnny Damon,Kansas City Royals,Runs,136.0,2000,American
ramirma02,Manny Ramirez,Cleveland Indians,Slugging Average,0.697,2000,American
damonjo01,Johnny Damon,Kansas City Royals,Stolen Bases,46.0,2000,American
delgaca01,Carlos Delgado,Toronto Blue Jays,Total Bases,378.0,2000,American
guzmacr01,Cristian Guzman,Minnesota Twins,Triples,20.0,2000,American
bondsba01,Barry Bonds,San Francisco Giants,Base on Balls,117.0,2000,National
heltoto01,Todd Helton,Colorado Rockies,Batting Average,0.372,2000,National
heltoto01,Todd Helton,Colorado Rockies,Doubles,59.0,2000,National
heltoto01,Todd Helton,Colorado Rockies,Hits,216.0,2000,National
sosasa01,Sammy Sosa,Chicago Cubs,Home Runs,50.0,2000,National
heltoto01,Todd Helton,Colorado Rockies,On Base Percentage,0.463,2000,National
heltoto01,Todd Helton,Colorado Rockies,RBI,147.0,2000,National
bagweje01,Jeff Bagwell,Houston Astros,Runs,152.0,2000,National
heltoto01,Todd Helton,Colorado Rockies,Slugging Average,0.698,2000,National
castilu01,Luis Castillo,Florida Marlins,Stolen Bases,62.0,2000,National
heltoto01,Todd Helton,Colorado Rockies,Total Bases,405.0,2000,National
womacto01,Tony Womack,Arizona Diamondbacks,Triples,14.0,2000,National
giambja01,Jason Giambi,Oakland Athletics,Base on Balls,129.0,2001,American
suzukic01,Ichiro Suzuki,Seattle Mariners,Batting Average,0.35,2001,American
giambja01,Jason Giambi,Oakland Athletics,Doubles,47.0,2001,American
suzukic01,Ichiro Suzuki,Seattle Mariners,Hits,242.0,2001,American
rodrial01,Alex Rodriguez,Texas Rangers,Home Runs,52.0,2001,American
giambja01,Jason Giambi,Oakland Athletics,On Base Percentage,0.477,2001,American
boonebr01,Bret Boone,Seattle Mariners,RBI,141.0,2001,American
rodrial01,Alex Rodriguez,Texas Rangers,Runs,133.0,2001,American
giambja01,Jason Giambi,Oakland Athletics,Slugging Average,0.66,2001,American
suzukic01,Ichiro Suzuki,Seattle Mariners,Stolen Bases,56.0,2001,American
rodrial01,Alex Rodriguez,Texas Rangers,Total Bases,393.0,2001,American
