player_id,career_length,games_played,at_bats,runs,hits,doubles,triples,home_runs,grand_slams,runs_batted_in,walks,intentional_walks,strikeouts,sacrifice_hits,sacrifice_flies,hit_by_pitch,ground_into_double_play,batting_average,on_base_percentage,slugging_percentage
giambja01,20,2260,7267,1227,2010,405,9,440,14,1441,1366,97,1572,2,93,180,163,0.277,0.399,0.516
garcino01,14,1434,5586,927,1747,370,52,229,7,936,403,54,554,5,63,59,129,0.313,0.361,0.521
delgaca01,17,2035,7283,1241,2038,483,18,473,13,1512,1109,186,1745,0,93,172,152,0.28,0.383,0.546
erstada01,14,1654,6024,913,1697,316,33,124,1,699,475,44,939,36,43,37,87,0.282,0.336,0.407
glaustr01,13,1537,5410,889,1375,293,10,320,4,950,854,40,1377,0,45,46,138,0.254,0.358,0.489
martied01,18,2055,7213,1219,2247,514,15,309,9,1261,1283,113,1202,10,77,89,190,0.312,0.418,0.515
damonjo01,18,2490,9736,1668,2769,522,109,235,6,1139,1003,38,1257,57,71,50,93,0.284,0.352,0.433
ramirma02,19,2302,8244,1544,2574,547,20,555,21,1831,1329,216,1813,2,90,109,243,0.312,0.411,0.585
guzmacr01,11,1406,5382,727,1459,238,89,62,1,467,265,18,783,74,33,31,87,0.271,0.307,0.383
bondsba01,22,2986,9847,2227,2935,601,77,762,11,1996,2558,688,1539,4,91,106,165,0.298,0.444,0.607
heltoto01,17,2247,7962,1401,2519,592,37,369,7,1406,1335,185,1175,3,93,57,186,0.316,0.414,0.539
sosasa01,18,2354,8813,1475,2408,379,45,609,9,1667,929,154,2306,17,78,59,202,0.273,0.344,0.534
bagweje01,15,2150,7797,1517,2314,488,32,449,6,1529,1401,155,1558,3,102,128,221,0.297,0.408,0.54
castilu01,15,1720,6510,1001,1889,194,59,28,1,443,800,13,850,123,26,12,120,0.29,0.368,0.351
womacto01,13,1303,4963,739,1353,190,59,36,2,368,308,9,649,57,33,28,53,0.273,0.317,0.356
suzukic01,19,2653,9934,1420,3089,362,96,117,4,780,647,181,1080,50,48,55,92,0.311,0.355,0.402
rodrial01,22,2784,10566,2021,3115,548,31,696,25,2086,1338,97,2287,16,111,176,258,0.295,0.38,0.55
boonebr01,14,1780,6683,927,1775,366,28,252,6,1021,552,32,1295,55,73,69,168,0.266,0.325,0.442
walkela01,17,1988,6907,1355,2160,471,62,383,7,1311,913,117,1231,7,65,138,153,0.313,0.4,0.565
berkmla01,15,1879,6491,1146,1905,422,30,366,6,1234,1201,160,1300,1,54,66,144,0.293,0.406,0.537
aurilri01,15,1652,5721,745,1576,301,22,186,3,756,450,22,861,36,47,24,140,0.275,0.328,0.433
