Player_ID,Name,Team,Statistic,Value,Year
giambja01,Jason Giambi,Oakland Athletics,Base on Balls,137.0,2000
garcino01,Nomar Garciaparra,Boston Red Sox,Batting Average,0.372,2000
delgaca01,Carlos Delgado,Toronto Blue Jays,Doubles,57.0,2000
erstada01,Darin Erstad,Anaheim Angels,Hits,240.0,2000
glaustr01,Troy Glaus,Anaheim Angels,Home Runs,47.0,2000
giambja01,Jason Giambi,Oakland Athletics,On Base Percentage,0.476,2000
martied01,Edgar Martinez,Seattle Mariners,RBI,145.0,2000
damonjo01,Johnny Damon,Kansas City Royals,Runs,136.0,2000
ramirma02,Manny Ramirez,Cleveland Indians,Slugging Average,0.697,2000
damonjo01,Johnny Damon,Kansas City Royals,Stolen Bases,46.0,2000
delgaca01,Carlos Delgado,Toronto Blue Jays,Total Bases,378.0,2000
guzmacr01,Cristian Guzman,Minnesota Twins,Triples,20.0,2000
giambja01,Jason Giambi,Oakland Athletics,Base on Balls,129.0,2001
suzukic01,Ichiro Suzuki,Seattle Mariners,Batting Average,0.35,2001
giambja01,Jason Giambi,Oakland Athletics,Doubles,47.0,2001
suzukic01,Ichiro Suzuki,Seattle Mariners,Hits,242.0,2001
rodrial01,Alex Rodriguez,Texas Rangers,Home Runs,52.0,2001
giambja01,Jason Giambi,Oakland Athletics,On Base Percentage,0.477,2001
boonebr01,Bret Boone,Seattle Mariners,RBI,141.0,2001
rodrial01,Alex Rodriguez,Texas Rangers,Runs,133.0,2001
giambja01,Jason Giambi,Oakland Athletics,Slugging Average,0.66,2001
suzukic01,Ichiro Suzuki,Seattle Mariners,Stolen Bases,56.0,2001
rodrial01,Alex Rodriguez,Texas Rangers,Total Bases,393.0,2001
guzmacr01,Cristian Guzman,Minnesota Twins,Triples,14.0,2001
thomeji01,Jim Thome,Cleveland Indians,Base on Balls,122.0,2002
ramirma02,Manny Ramirez,Boston Red Sox,Batting Average,0.349,2002
anderga01,Garret Anderson,Anaheim Angels,Doubles,56.0,2002
garcino01,Nomar Garciaparra,Boston Red Sox,Doubles,56.0,2002
soriaal01,Alfonso Soriano,New York Yankees,Hits,209.0,2002
rodrial01,Alex Rodriguez,Texas Rangers,Home Runs,57.0,2002
ramirma02,Manny Ramirez,Boston Red Sox,On Base Percentage,0.45,2002
rodrial01,Alex Rodriguez,Texas Rangers,RBI,142.0,2002
soriaal01,Alfonso Soriano,New York Yankees,Runs,128.0,2002
thomeji01,Jim Thome,Cleveland Indians,Slugging Average,0.677,2002
soriaal01,Alfonso Soriano,New York Yankees,Stolen Bases,41.0,2002
