player_id,name,team,statistic,value,year
giambja01,Jason Giambi,Oakland,Base on Balls,137,2000
garcino01,Nomar Garciaparra,Boston,Batting Average,.372,2000
delgaca01,Carlos Delgado,Toronto,Doubles,57,2000
erstada01,Darin Erstad,Anaheim,Hits,240,2000
glaustr01,Troy Glaus,Anaheim,Home Runs,47,2000
giambja01,Jason Giambi,Oakland,On Base Percentage,.476,2000
martied01,Edgar Martinez,Seattle,RBI,145,2000
damonjo01,Johnny Damon,Kansas City,Runs,136,2000
ramirma02,Manny Ramirez,Cleveland,Slugging Average,.697,2000
damonjo01,Johnny Damon,Kansas City,Stolen Bases,46,2000
delgaca01,Carlos Delgado,Toronto,Total Bases,378,2000
guzmacr01,Cristian Guzman,Minnesota,Triples,20,2000
giambja01,Jason Giambi,Oakland,Base on Balls,129,2001
suzukic01,Ichiro Suzuki,Seattle,Batting Average,.350,2001
giambja01,Jason Giambi,Oakland,Doubles,47,2001
suzukic01,Ichiro Suzuki,Seattle,Hits,242,2001
rodrial01,Alex Rodriguez,Texas,Home Runs,52,2001
giambja01,Jason Giambi,Oakland,On Base Percentage,.477,2001
boonebr01,Bret Boone,Seattle,RBI,141,2001
rodrial01,Alex Rodriguez,Texas,Runs,133,2001
giambja01,Jason Giambi,Oakland,Slugging Average,.660,2001
suzukic01,Ichiro Suzuki,Seattle,Stolen Bases,56,2001
rodrial01,Alex Rodriguez,Texas,Total Bases,393,2001
guzmacr01,Cristian Guzman,Minnesota,Triples,14,2001
thomeji01,Jim Thome,Cleveland,Base on Balls,122,2002
ramirma02,Manny Ramirez,Boston,Batting Average,.349,2002
anderga01,Garret Anderson,Anaheim,Doubles,56,2002
garcino01,Nomar Garciaparra,Boston,Doubles,56,2002
soriaal01,Alfonso Soriano,New York,Hits,209,2002
rodrial01,Alex Rodriguez,Texas,Home Runs,57,2002
ramirma02,Manny Ramirez,Boston,On Base Percentage,.450,2002
rodrial01,Alex Rodriguez,Texas,RBI,142,2002
soriaal01,Alfonso Soriano,New York,Runs,128,2002
thomeji01,Jim Thome,Cleveland,Slugging Average,.677,2002
soriaal01,Alfonso Soriano,New York,Stolen Bases,41,2002
rodrial01,Alex Rodriguez,Texas,Total Bases,389,2002
damonjo01,Johnny Damon,Boston,Triples,11,2002
giambja01,Jason Giambi,New York,Base on Balls,129,2003
muellbi02,Bill Mueller,Boston,Batting Average,.326,2003
anderga01,Garret Anderson,Anaheim,Doubles,49,2003
wellsve01,Vernon Wells,Toronto,Doubles,49,2003
wellsve01,Vernon Wells,Toronto,Hits,215,2003
rodrial01,Alex Rodriguez,Texas,Home Runs,47,2003
ramirma02,Manny Ramirez,Boston,On Base Percentage,.427,2003
delgaca01,Carlos Delgado,Toronto,RBI,145,2003
rodrial01,Alex Rodriguez,Texas,Runs,124,2003
rodrial01,Alex Rodriguez,Texas,Slugging Average,.600,2003
crawfca02,Carl Crawford,Tampa Bay,Stolen Bases,55,2003
wellsve01,Vernon Wells,Toronto,Total Bases,373,2003
guzmacr01,Cristian Guzman,Minnesota,Triples,14,2003
chaveer01,Eric Chavez,Oakland,Base on Balls,95,2004
suzukic01,Ichiro Suzuki,Seattle,Batting Average,.372,2004
roberbr01,Brian Roberts,Baltimore,Doubles,50,2004
suzukic01,Ichiro Suzuki,Seattle,Hits,262,2004
ramirma02,Manny Ramirez,Boston,Home Runs,43,2004
morame01,Melvin Mora,Baltimore,On Base Percentage,.419,2004
tejadmi01,Miguel Tejada,Baltimore,RBI,150,2004
guerrvl01,Vladimir Guerrero,Anaheim,Runs,124,2004
ramirma02,Manny Ramirez,Boston,Slugging Average,.613,2004
crawfca02,Carl Crawford,Tampa Bay,Stolen Bases,59,2004
