Player_ID,Career_Length,G,AB,R,H,2B,3B,HR,GRSL,RBI,BB,IBB,SO,SH,SF,HBP,GIDP,AVG,OBP,SLG
giambja01,20,2260,7267,1227,2010,405,9,440,14,1441,1366,97,1572,2,93,180,163,.277,.399,.516
garcino01,14,1434,5586,927,1747,370,52,229,7,936,403,54,554,5,63,59,129,.313,.361,.521
delgaca01,17,2035,7283,1241,2038,483,18,473,13,1512,1109,186,1745,0,93,172,152,.280,.383,.546
erstada01,14,1654,6024,913,1697,316,33,124,1,699,475,44,939,36,43,37,87,.282,.336,.407
glaustr01,13,1537,5410,889,1375,293,10,320,4,950,854,40,1377,0,45,46,138,.254,.358,.489
martied01,18,2055,7213,1219,2247,514,15,309,9,1261,1283,113,1202,10,77,89,190,.312,.418,.515
damonjo01,18,2490,9736,1668,2769,522,109,235,6,1139,1003,38,1257,57,71,50,93,.284,.352,.433
ramirma02,19,2302,8244,1544,2574,547,20,555,21,1831,1329,216,1813,2,90,109,243,.312,.411,.585
guzmacr01,11,1406,5382,727,1459,238,89,62,1,467,265,18,783,74,33,31,87,.271,.307,.383
suzukic01,19,2653,9934,1420,3089,362,96,117,4,780,647,181,1080,50,48,55,92,.311,.355,.402
rodrial01,22,2784,10566,2021,3115,548,31,696,25,2086,1338,97,2287,16,111,176,258,.295,.380,.550
boonebr01,14,1780,6683,927,1775,366,28,252,6,1021,552,32,1295,55,73,69,168,.266,.325,.442
thomeji01,22,2543,8422,1583,2328,451,26,612,9,1699,1747,172,2548,1,74,69,165,.276,.402,.554
anderga01,17,2228,8640,1084,2529,522,36,287,8,1365,429,104,1224,13,87,8,197,.293,.324,.461
soriaal01,16,1975,7750,1152,2095,481,31,412,5,1159,496,66,1803,9,54,86,123,.270,.319,.500
muellbi02,11,1216,4223,663,1229,265,22,85,4,493,543,17,571,37,48,35,105,.291,.373,.425
wellsve01,15,1731,6642,930,1794,379,34,270,6,958,472,24,956,2,63,31,167,.270,.319,.459
crawfca02,15,1716,6655,998,1931,309,123,136,4,766,377,24,1067,34,48,47,79,.290,.330,.435
chaveer01,17,1615,5518,816,1477,318,24,260,5,902,639,77,1079,0,55,15,132,.268,.342,.475
roberbr01,14,1417,5531,850,1527,367,39,97,6,542,609,26,844,48,49,13,82,.276,.347,.409
morame01,13,1556,5422,794,1503,283,19,171,5,754,520,18,953,50,49,117,112,.277,.350,.431
tejadmi01,16,2171,8434,1230,2407,468,23,307,12,1302,553,72,1079,23,71,122,274,.285,.336,.456
guerrvl01,16,2147,8155,1328,2590,477,46,449,7,1496,737,250,985,0,64,103,277,.318,.379,.553
youngmi02,14,1970,7918,1137,2375,441,60,185,4,1030,575,28,1235,25,72,22,236,.300,.346,.441
ortizda01,20,2408,8640,1419,2472,632,19,541,11,1768,1319,209,1750,2,92,38,236,.286,.380,.552
figgich01,12,1282,4701,708,1298,188,58,35,1,403,540,6,832,69,40,10,73,.276,.349,.363
teixema01,14,1862,6936,1099,1862,408,18,409,12,1298,918,91,1441,0,64,111,158,.268,.360,.509
mauerjo01,15,1858,6930,1018,2123,428,30,143,5,923,939,145,1034,6,60,25,208,.306,.388,.439
sizemgr01,10,1101,4147,660,1098,252,47,150,3,518,483,34,952,8,19,67,49,.265,.349,.457
hafnetr01,12,1183,4060,619,1107,250,13,213,12,731,598,81,978,0,29,90,86,.273,.376,.498
ordonma01,15,1848,6978,1076,2156,426,21,294,7,1236,651,36,852,3,65,45,242,.309,.369,.502
