player_id,name,team,statistic,value,year,league
giambja01,Jason Giambi,Oakland,Base on Balls,137,2000,American
garcino01,Nomar Garciaparra,Boston,Batting Average,.372,2000,American
delgaca01,Carlos Delgado,Toronto,Doubles,57,2000,American
erstada01,Darin Erstad,Anaheim,Hits,240,2000,American
glaustr01,Troy Glaus,Anaheim,Home Runs,47,2000,American
giambja01,Jason Giambi,Oakland,On Base Percentage,.476,2000,American
martied01,Edgar Martinez,Seattle,RBI,145,2000,American
damonjo01,Johnny Damon,Kansas City,Runs,136,2000,American
ramirma02,Manny Ramirez,Cleveland,Slugging Average,.697,2000,American
damonjo01,Johnny Damon,Kansas City,Stolen Bases,46,2000,American
delgaca01,Carlos Delgado,Toronto,Total Bases,378,2000,American
guzmacr01,Cristian Guzman,Minnesota,Triples,20,2000,American
bondsba01,Barry Bonds,San Francisco,Base on Balls,117,2000,National
heltoto01,Todd Helton,Colorado,Batting Average,.372,2000,National
heltoto01,Todd Helton,Colorado,Doubles,59,2000,National
heltoto01,Todd Helton,Colorado,Hits,216,2000,National
sosasa01,Sammy Sosa,Chicago,Home Runs,50,2000,National
heltoto01,Todd Helton,Colorado,On Base Percentage,.463,2000,National
heltoto01,Todd Helton,Colorado,RBI,147,2000,National
bagweje01,Jeff Bagwell,Houston,Runs,152,2000,National
heltoto01,Todd Helton,Colorado,Slugging Average,.698,2000,National
castilu01,Luis Castillo,Florida,Stolen Bases,62,2000,National
heltoto01,Todd Helton,Colorado,Total Bases,405,2000,National
womacto01,Tony Womack,Arizona,Triples,14,2000,National
giambja01,Jason Giambi,Oakland,Base on Balls,129,2001,American
suzukic01,Ichiro Suzuki,Seattle,Batting Average,.350,2001,American
giambja01,Jason Giambi,Oakland,Doubles,47,2001,American
suzukic01,Ichiro Suzuki,Seattle,Hits,242,2001,American
rodrial01,Alex Rodriguez,Texas,Home Runs,52,2001,American
giambja01,Jason Giambi,Oakland,On Base Percentage,.477,2001,American
boonebr01,Bret Boone,Seattle,RBI,141,2001,American
rodrial01,Alex Rodriguez,Texas,Runs,133,2001,American
giambja01,Jason Giambi,Oakland,Slugging Average,.660,2001,American
suzukic01,Ichiro Suzuki,Seattle,Stolen Bases,56,2001,American
rodrial01,Alex Rodriguez,Texas,Total Bases,393,2001,American
guzmacr01,Cristian Guzman,Minnesota,Triples,14,2001,American
bondsba01,Barry Bonds,San Francisco,Base on Balls,177,2001,National
walkela01,Larry Walker,Colorado,Batting Average,.350,2001,National
berkmla01,Lance Berkman,Houston,Doubles,55,2001,National
aurilri01,Rich Aurilia,San Francisco,Hits,206,2001,National
bondsba01,Barry Bonds,San Francisco,Home Runs,73,2001,National
bondsba01,Barry Bonds,San Francisco,On Base Percentage,.515,2001,National
sosasa01,Sammy Sosa,Chicago,RBI,160,2001,National
sosasa01,Sammy Sosa,Chicago,Runs,146,2001,National
bondsba01,Barry Bonds,San Francisco,Slugging Average,.863,2001,National
pierrju01,Juan Pierre,Colorado,Stolen Bases,46,2001,National
rolliji01,Jimmy Rollins,Philadelphia,Stolen Bases,46,2001,National
sosasa01,Sammy Sosa,Chicago,Total Bases,425,2001,National
rolliji01,Jimmy Rollins,Philadelphia,Triples,12,2001,National
thomeji01,Jim Thome,Cleveland,Base on Balls,122,2002,American
ramirma02,Manny Ramirez,Boston,Batting Average,.349,2002,American
anderga01,Garret Anderson,Anaheim,Doubles,56,2002,American
garcino01,Nomar Garciaparra,Boston,Doubles,56,2002,American
soriaal01,Alfonso Soriano,New York,Hits,209,2002,American
rodrial01,Alex Rodriguez,Texas,Home Runs,57,2002,American
ramirma02,Manny Ramirez,Boston,On Base Percentage,.450,2002,American
rodrial01,Alex Rodriguez,Texas,RBI,142,2002,American
soriaal01,Alfonso Soriano,New York,Runs,128,2002,American
thomeji01,Jim Thome,Cleveland,Slugging Average,.677,2002,American
soriaal01,Alfonso Soriano,New York,Stolen Bases,41,2002,American
rodrial01,Alex Rodriguez,Texas,Total Bases,389,2002,American
damonjo01,Johnny Damon,Boston,Triples,11,2002,American
